lower,snake
contactinstructions,contact_instructions
contributiondate,contribution_date
cookie_id,cookie_id
cookielabel_id,cookie_label_id
cookiename,cookie_name
correlationstart,correlation_start
correlationstop,correlation_stop
countrecs,count_recs
country,country
cover,cover
covercode,cover_code
coverdispersion,cover_dispersion
coverestimationmethod,cover_estimation_method
coverindex_id,cover_index_id
covermethod_id,cover_method_id
covermethodaccessioncode,cover_method_accession_code
coverpercent,cover_percent
covertype,cover_type
current_cert_level,current_cert_level
current_org,current_org
current_pos,current_pos
currentaccepted,current_accepted
currentflag,current_flag
currentinterpretation,current_interpretation
currentname_id,current_name_id
currentparty_id,current_party_id
d_currentaccepted,d_current_accepted
d_lastplotaddeddate,d_last_plot_added_date
d_obscount,d_obs_count
data1,data_1
data2,data_2
data3,data_3
data4,data_4
data5,data_5
data6,data_6
data7,data_7
data8,data_8
data9,data_9
data10,data_10
databasekey,database_key
datasetdescription,dataset_description
datasetname,dataset_name
datasetpassword,dataset_password
datasetsharing,dataset_sharing
datasetstart,dataset_start
datasetstop,dataset_stop
datasettype,dataset_type
dateaccuracy,date_accuracy
dateentered,date_entered
dba_datacache_id,dba_datacache_id
dba_datamodelversion_id,dba_data_model_version_id
dba_fielddescription_id,dba_field_description_id
dba_fieldlist_id,dba_field_list_id
dba_onerow_id,dba_one_row_id
dba_preassignacccode_id,dba_preassign_acc_code_id
dba_requestnumber,dba_request_number
dba_tabledescription_id,dba_table_description_id
defaultname,default_name
defaultstatus,default_status
defaultvalue,default_value
definedvalue,defined_value
definedvalue_id,defined_value_id
degree,degree
degree_institution,degree_institution
degree_year,degree_year
deliverypoint,delivery_point
description,description
disturbanceage,disturbance_age
disturbancecomment,disturbance_comment
disturbanceextent,disturbance_extent
disturbanceintensity,disturbance_intensity
disturbanceobs_id,disturbance_obs_id
disturbancetype,disturbance_type
doi,doi
dominantstratum,dominant_stratum
dsgpoly,dsg_poly
edition,edition
effortlevel,effort_level
elevation,elevation
elevationaccuracy,elevation_accuracy
elevationrange,elevation_range
email,email
email_address,email_address
emb_classcontributor,emb_class_contributor
emb_commclass,emb_comm_class
emb_comminterpretation,emb_comm_interpretation
emb_disturbanceobs,emb_disturbance_obs
emb_observation,emb_observation
emb_plot,emb_plot
emb_soilobs,emb_soil_obs
emb_stemcount,emb_stem_count
emb_stemlocation,emb_stem_location
emb_taxonalt,emb_taxon_alt
emb_taxonimportance,emb_taxon_importance
emb_taxoninterpretation,emb_taxon_interpretation
emb_taxonobservation,emb_taxon_observation
embargo_id,embargo_id
embargoreason,embargo_reason
embargostart,embargo_start
embargostop,embargo_stop
entity,entity
esa_member,esa_member
esa_sponsor_email_a,esa_sponsor_email_a
esa_sponsor_email_b,esa_sponsor_email_b
esa_sponsor_name_a,esa_sponsor_name_a
esa_sponsor_name_b,esa_sponsor_name_b
examplepk,example_pk
exchangecapacity,exchange_capacity
exp_region_a,exp_region_a
exp_region_a_flor,exp_region_a_flor
exp_region_a_nvc,exp_region_a_nvc
exp_region_a_veg,exp_region_a_veg
exp_region_b,exp_region_b
exp_region_b_flor,exp_region_b_flor
exp_region_b_nvc,exp_region_b_nvc
exp_region_b_veg,exp_region_b_veg
exp_region_c,exp_region_c
exp_region_c_flor,exp_region_c_flor
exp_region_c_nvc,exp_region_c_nvc
exp_region_c_veg,exp_region_c_veg
expertsystem,expert_system
externalaccessioncode,external_accession_code
fieldcover,field_cover
fielddefinition,field_definition
fieldht,field_ht
fieldkey,field_key
fieldkeywords,field_keywords
fieldlabel,field_label
fieldlist,field_list
fieldmodel,field_model
fieldname,field_name
fieldnotes,field_notes
fieldnulls,field_nulls
fieldreferences,field_references
fieldtype,field_type
floatingcover,floating_cover
floristicquality,floristic_quality
floristics,floristics
fulltext,fulltext
givenname,given_name
graphic_id,graphic_id
graphicdata,graphic_data
graphicdate,graphic_date
graphicdescription,graphic_description
graphiclocation,graphic_location
graphicname,graphic_name
graphictype,graphic_type
grouptype,group_type
growthform1cover,growthform_1_cover
growthform1type,growthform_1_type
growthform2cover,growthform_2_cover
growthform2type,growthform_2_type
growthform3cover,growthform_3_cover
growthform3type,growthform_3_type
hasobservationsynonym,has_observation_synonym
highest_degree,highest_degree
homogeneity,homogeneity
hydrologicregime,hydrologic_regime
identifier,identifier
indexdescription,index_description
inferencearea,inference_area
inspection,inspection
int_currplantcode,int_curr_plant_code
int_currplantcommon,int_curr_plant_common
int_currplantconcept_id,int_curr_plant_concept_id
int_currplantscifull,int_curr_plant_sci_full
int_currplantscinamenoauth,int_curr_plant_sci_name_no_auth
int_origplantcode,int_orig_plant_code
int_origplantcommon,int_orig_plant_common
int_origplantconcept_id,int_orig_plant_concept_id
int_origplantscifull,int_orig_plant_sci_full
int_origplantscinamenoauth,int_orig_plant_sci_name_no_auth
interp_bestfit_cc_id,interp_bestfit_cc_id
interp_bestfit_ci_id,interp_bestfit_ci_id
interp_bestfit_code,interp_bestfit_code
interp_bestfit_party_id,interp_bestfit_party_id
interp_bestfit_partyname,interp_bestfit_partyname
interp_bestfit_sciname,interp_bestfit_sciname
interp_current_cc_id,interp_current_cc_id
interp_current_ci_id,interp_current_ci_id
interp_current_code,interp_current_code
interp_current_party_id,interp_current_party_id
interp_current_partyname,interp_current_partyname
interp_current_sciname,interp_current_sciname
interp_orig_cc_id,interp_orig_cc_id
interp_orig_ci_id,interp_orig_ci_id
interp_orig_code,interp_orig_code
interp_orig_party_id,interp_orig_party_id
interp_orig_partyname,interp_orig_party_name
interp_orig_sciname,interp_orig_sci_name
interpretationdate,interpretation_date
interpretationtype,interpretation_type
isbn,isbn
issn,issn
issue,issue
itemaccessioncode,item_accession_code
itemdatabase,item_database
itemrecord,item_record
itemstart,item_start
itemstop,item_stop
itemtable,item_table
itemtype,item_type
journal,journal
keywords,keywords
landform,landform
landscapenarrative,landscape_narrative
last_connect,last_connect
lastcheckdate,last_check_date
lastplotaddeddate,last_plot_added_date
latitude,latitude
layoutnarrative,layout_narrative
lichenquality,lichen_quality
listvalue,list_value
listvaluedescription,list_value_description
listvaluesortorder,list_value_sort_order
locationaccuracy,location_accuracy
locationnarrative,location_narrative
longitude,longitude
lowerlimit,lower_limit
maxcover,max_cover
maxpk,max_pk
maxslopeaspect,max_slope_aspect
maxslopegradient,max_slope_gradient
memberstart,member_start
memberstop,member_stop
methodnarrative,method_narrative
middlename,middle_name
minpk,min_pk
minslopeaspect,min_slope_aspect
minslopegradient,min_slope_gradient
multivariateanalysis,multivariate_analysis
museum_id,museum_id
museumaccessionnumber,museum_accession_number
namedplace_id,named_place_id
namedplacecorrelation_id,named_place_correlation_id
nameother,name_other
nomenclaturaltype,nomenclatural_type
nonvascularcover,nonvascular_cover
nonvascularht,nonvascular_ht
note_id,note_id
notedate,note_date
notelink_id,note_link_id
notes,notes
notesmgt,notes_mgt
notespublic,notes_public
notetext,note_text
notetype,note_type
notifydescription,notify_description
notifyname,notify_name
notifysql,notify_sql
notifystart,notify_start
notifystop,notify_stop
numberoftaxa,number_of_taxa
numberofvolumes,number_of_volumes
nvc_ivc,nvc_ivc
obsaccessioncode,obs_accession_code
obscount,obs_count
obsenddate,obs_end_date
observation_id,observation_id
observationaccessioncode,observation_accession_code
observationcontributor_id,observation_contributor_id
observationnarrative,observation_narrative
observationsynonym_id,observation_synonym_id
obsstartdate,obs_start_date
organicdepth,organic_depth
organization_id,organization_id
organizationname,organization_name
orgposition,org_position
originaldata,original_data
originalinterpretation,original_interpretation
owner,owner
ownerstart,owner_start
ownerstop,owner_stop
ownertype,owner_type
pagerange,page_range
parent_id,parent_id
parentcommstatus_id,parent_comm_status_id
parentparty_id,parent_party_id
parentplace_id,parent_place_id
parentplantstatus_id,parent_plant_status_id
party_id,party_id
partyaccessioncode,party_accession_code
partymember_id,party_member_id
partypublic,party_public
partytype,party_type
password,password
peer_review,peer_review
percentbaresoil,percent_bare_soil
percentbedrock,percent_bed_rock
percentlitter,percent_litter
percentother,percent_other
percentrockgravel,percent_rock_gravel
percentwater,percent_water
percentwood,percent_wood
permanence,permanence
permission_type,permission_type
permissionnotes,permission_notes
permissionstart,permission_start
permissionstatus,permission_status
permissionstop,permission_stop
phenologicaspect,phenologic_aspect
phonenumber,phone_number
phonetype,phone_type
placecode,place_code
placeconvergence,place_convergence
placedescription,place_description
placementmethod,placement_method
placename,place_name
placesystem,place_system
plantcode,plant_code
plantconcept_id,plant_concept_id
plantconceptstatus,plant_concept_status
plantconvergence,plant_convergence
plantcorrelation_id,plant_correlation_id
plantdescription,plant_description
plantlevel,plant_level
plantlineage_id,plant_lineage_id
plantname,plant_name
plantname_id,plant_name_id
plantnamestatus,plant_name_status
plantparent_id,plant_parent_id
plantparentconcept_id,plant_parent_concept_id
plantparentname,plant_parent_name
plantpartycomments,plant_party_comments
plantstatus_id,plant_status_id
plantusage_id,plant_usage_id
plot_id,plot_id
plotaccessioncode,plot_accession_code
plotnotespublic,plot_notes_public
plotplace_id,plot_place_id
plotrationalenarrative,plot_rationale_narrative
plotvalidationlevel,plot_validation_level
plotvalidationleveldescr,plot_validation_level_descr
position,position
positionname,position_name
postalcode,postal_code
preferencename,preference_name
preferencepriority,preference_priority
preferencestart,preference_start
preferencestop,preference_stop
preferencevalue,preference_value
preferred_name,preferred_name
prefixhtml,prefix_html
previousobs_id,previous_obs_id
previousrevision_id,previous_revision_id
previousvaluetext,previous_value_text
previousvaluetype,previous_value_type
primaryobservation_id,primary_observation_id
prof_exp,prof_exp
project_id,project_id
projectaccessioncode,project_accession_code
projectcontributor_id,project_contributor_id
projectdescription,project_description
projectname,project_name
pubdate,pub_date
publicationplace,publication_place
publisher,publisher
querydescription,query_description
queryname,query_name
querypassword,query_password
querysharing,query_sharing
querysql,query_sql
querystart,query_start
querystop,query_stop
querytype,query_type
reallatitude,real_latitude
reallongitude,real_longitude
recordcreationdate,record_creation_date
reference_id,reference_id
referenceaccessioncode,reference_accession_code
referencealtident_id,reference_alt_ident_id
referencecontributor_id,reference_contributor_id
referencejournal_id,reference_journal_id
referenceparty_id,reference_party_id
referencetype,reference_type
region,region
relevant_pubs,relevant_pubs
remote_address,remote_address
reportnumber,report_number
representativeness,representativeness
requested_cert_level,requested_cert_level
revision_id,revision_id
revisiondate,revision_date
revisions,revisions
rocktype,rock_type
role_id,role_id
roleclassint,role_class_int
rolecode,role_code
roledescription,role_description
roleobservation,role_observation
roleproject,role_project
roletaxonint,role_taxon_int
roletype,role_type
salutation,salutation
sciname,sci_name
scinamenoauth,sci_name_no_auth
shape,shape
shoredistance,shore_distance
shortname,short_name
shrubcover,shrub_cover
shrubht,shrub_ht
slopeaspect,slope_aspect
slopegradient,slope_gradient
soilclay,soil_clay
soilcoarse,soil_coarse
soilcode,soil_code
soilcolor,soil_color
soildepth,soil_depth
soildepthbottom,soil_depth_bottom
soildepthtop,soil_depth_top
soildescription,soil_description
soildrainage,soil_drainage
soilframework,soil_framework
soilhorizon,soil_horizon
soillevel,soil_level
soilmoistureregime,soil_moisture_regime
soilname,soil_name
soilobs_id,soil_obs_id
soilorganic,soil_organic
soilparent_id,soil_parent_id
soilph,soil_ph
soilsand,soil_sand
soilsilt,soil_silt
soiltaxon_id,soil_taxon_id
soiltaxonsrc,soil_taxon_src
soiltexture,soil_texture
sortorder,sort_order
standmaturity,stand_maturity
standsize,stand_size
startdate,start_date
startgroup,start_group
stat_id,stat_id
statdate,stat_date
stateprovince,state_province
statname,stat_name
statpkg,stat_pkg
stattable,stat_table
stemcode,stem_code
stemcount,stem_count
stemcount_id,stem_count_id
stemdiameter,stem_diameter
stemdiameteraccuracy,stem_diameter_accuracy
stemhealth,stem_health
stemheight,stem_height
stemheightaccuracy,stem_height_accuracy
stemlocation_id,stem_location_id
stemobservationarea,stem_observation_area
stemsamplemethod,stem_sample_method
stemsizelimit,stem_size_limit
stemtaxonarea,stem_taxon_area
stemxposition,stem_x_position
stemyposition,stem_y_position
stopdate,stop_date
stratum,stratum
stratum_id,stratum_id
stratumassignment,stratum_assignment
stratumbase,stratum_base
stratumcover,stratum_cover
stratumdescription,stratum_description
stratumheight,stratum_height
stratumindex,stratum_index
stratummethod_id,stratum_method_id
stratummethodaccessioncode,stratum_method_accession_code
stratummethoddescription,stratum_method_description
stratummethodname,stratum_method_name
stratumname,stratum_name
stratumtype_id,stratum_type_id
submergedcover,submerged_cover
submergedht,submerged_ht
submitter_email,submitter_email
submitter_givenname,submitter_givenname
submitter_surname,submitter_surname
successionalstatus,successional_status
suffix,suffix
suffixhtml,suffix_html
surficialdeposits,surficial_deposits
surname,surname
synonymcomment,synonym_comment
synonymobservation_id,synonym_observation_id
system,system
table_id,table_id
tableabbrev,table_abbrev
tableanalysis,table_analysis
tableattribute,table_attribute
tabledescription,table_description
tablekeywords,table_keywords
tablelabel,table_label
tablename,table_name
tablenotes,table_notes
tablerecord,table_record
tablerecord_id,table_record_id
taxa,taxa
taxonalt_id,taxon_alt_id
taxonaltconfidence,taxon_alt_confidence
taxonaltfit,taxon_alt_fit
taxonaltnotes,taxon_alt_notes
taxonconfidence,taxon_confidence
taxonfit,taxon_fit
taxonimportance_id,taxon_importance_id
taxoninferencearea,taxon_inference_area
taxoninterpretation_id,taxon_interpretation_id
taxonobservation_id,taxon_observation_id
taxonobservationarea,taxon_observation_area
telephone_id,telephone_id
ticket_count,ticket_count
title,title
titlesuperior,title_superior
tools_exp,tools_exp
topoposition,topo_position
toptaxon1name,top_taxon_1_name
toptaxon2name,top_taxon_2_name
toptaxon3name,top_taxon_3_name
toptaxon4name,top_taxon_4_name
toptaxon5name,top_taxon_5_name
totalcover,total_cover
totalpages,total_pages
translated,translated
treecover,tree_cover
treeht,tree_ht
type,type
upperlimit,upper_limit
url,url
usagestart,usage_start
usagestop,usage_stop
usercertification_id,user_certification_id
userdataset_id,user_dataset_id
userdatasetitem_id,user_dataset_item_id
userdefined_id,user_defined_id
userdefinedcategory,user_defined_category
userdefinedmetadata,user_defined_metadata
userdefinedname,user_defined_name
userdefinedtype,user_defined_type
usernotify_id,user_notify_id
userpermission_id,user_permission_id
userpreference_id,user_preference_id
userquery_id,user_query_id
userrecordowner_id,user_record_owner_id
userregionalexp_id,user_regional_exp_id
usnvc_exp,usnvc_exp
usr_id,usr_id
vb_exp,vb_exp
vb_intention,vb_intention
veg_analysis_exp,veg_analysis_exp
veg_sampling_exp,veg_sampling_exp
vegetation,vegetation
versionimplemented,version_implemented
versiontext,version_text
viewname,view_name
vieworcookie,view_or_cookie
volume,volume
waterdepth,water_depth
watersalinity,water_salinity
xml,xml
